Hochschulart;Jahr;Geschlecht;Fächergruppen;Fächergruppen A;Geisteswissenschaften;Geisteswissenschaften A;Sport;Sport A;Rechts-, Wirtschafts- und Sozialwissenschaften;Rechts-, Wirtschafts- und Sozialwissenschaften A;Mathematik, Naturwissenschaften;Mathematik, Naturwissenschaften A;Humanmedizin/ Gesundheitswissenschaften;Humanmedizin/ Gesundheitswissenschaften A;Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin;Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin A;Ingenieurwissenschaften;Ingenieurwissenschaften A;Kunst, Kunstwissenschaften;Kunst, Kunstwissenschaften A
Hochschulen insgesamt;2016;Weiblich;1353385;257575;230074;40796;10601;1612;580336;115782;149532;27758;112432;18438;36975;6477;172742;35572;58731;9902
Hochschulen insgesamt;2017;Insgesamt;2844978;512419;341642;57937;28199;4032;1048789;198898;318675;54679;176633;26658;63579;10822;769085;141150;94264;15499
Hochschulen insgesamt;2017;Männlich;1464643;252162;112478;17050;17354;2253;453626;80845;165903;26576;60104;8180;26413;4541;591510;105845;35350;5519
Hochschulen insgesamt;2017;Weiblich;1380335;260257;229164;40887;10845;1779;595163;118053;152772;28103;116529;18478;37166;6281;177575;35305;58914;9980
Hochschulen insgesamt;2018;Insgesamt;2868222;511968;336193;57789;28461;3912;1066411;198241;319992;55692;180916;27309;62985;10450;774552;140015;94189;15103
Hochschulen insgesamt;2018;Männlich;1465978;249263;110766;17147;17300;2117;457502;79703;164309;26353;60634;8151;26037;4321;592103;104497;35147;5263
Hochschulen insgesamt;2018;Weiblich;1402244;262705;225427;40642;11161;1795;608909;118538;155683;29339;120282;19158;36948;6129;182449;35518;59042;9840
Hochschulen insgesamt;2019;Insgesamt;2891049;508689;332440;56638;29207;3935;1082326;197904;322086;55310;186835;28552;63381;10495;774687;137141;95521;15475
Hochschulen insgesamt;2019;Männlich;1464867;245267;109340;16709;17779;2253;459943;79140;163604;25739;62053;8656;25899;4211;588695;101689;35433;5354
Hochschulen insgesamt;2019;Weiblich;1426182;263422;223100;39929;11428;1682;622383;118764;158482;29571;124782;19896;37482;6284;185992;35452;60088;10121
